mapping, replan, sfc, mpc, df, 
0, 0.000145, 0.199973, 1.6367, 0.001446, 
0, 0.000237, 0.322369, 3.70789, 0.00356, 
0, 0.000188, 0.359259, 4.13064, 0.002218, 
0, 0.000243, 0.361098, 4.06639, 0.002255, 
0, 0.00021, 0.433246, 4.14467, 0.01254, 
0, 0.000237, 0.414501, 3.98913, 0.002217, 
0, 0.000268, 0.490741, 5.54579, 0.00351, 
0, 0.000216, 0.368834, 3.91125, 0.002435, 
0, 0.000219, 0.061778, 1.06195, 0.003205, 
10.9465, 6.9e-05, 0.228327, 2.53069, 0.002296, 
0, 0.000268, 0.337781, 3.32118, 0.002418, 
0, 0.00018, 0.300132, 3.8634, 0.002199, 
0, 0.000262, 0.344883, 4.20605, 0.003245, 
0, 0.00015, 0.238397, 2.53015, 0.001634, 
0, 0.000294, 0.428769, 4.07947, 0.002695, 
0, 0.000282, 0.37743, 5.14271, 0.003792, 
0, 0.000245, 0.431144, 3.78703, 0.002149, 
0, 0.000599, 0.197064, 2.15377, 0.001794, 
0, 0.000276, 0.091656, 1.34312, 0.0023, 
10.9502, 0.000137, 0.165996, 1.73447, 0.00145, 
0, 0.00012, 0.225593, 2.26802, 0.001358, 
0, 0.00025, 0.337714, 3.96298, 0.002895, 
0, 0.000197, 0.349004, 3.97674, 0.003845, 
0, 0.000615, 0.361214, 4.21858, 0.004066, 
0, 0.000161, 0.357047, 4.04643, 0.002424, 
0, 0.000218, 0.349655, 4.32855, 0.025052, 
0, 0.000178, 0.337668, 4.21594, 0.002961, 
0, 0.000107, 0.26322, 2.04665, 0.001597, 
0, 0.000337, 0.072211, 1.41981, 0.020619, 
10.407, 0.000145, 0.147366, 1.10069, 0.001466, 
0, 0.000233, 0.343797, 3.05231, 0.003967, 
0, 0.00032, 0.369337, 3.27616, 0.002773, 
0, 0.000303, 0.455242, 4.51727, 0.002716, 
0, 0.00021, 0.397056, 4.25567, 0.002502, 
0, 0.000204, 0.389052, 4.17795, 0.00223, 
0, 0.000567, 0.899457, 6.00354, 0.00377, 
0, 0.000107, 0.251196, 2.73189, 0.002318, 
0, 0.000288, 0.342545, 4.13922, 0.00369, 
0, 0.000214, 0.066361, 1.24076, 0.003157, 
13.6913, 0.000173, 0.227901, 2.25559, 0.002638, 
0, 0.000134, 0.293687, 2.68025, 0.004007, 
0, 0.000228, 0.360875, 3.12065, 0.002219, 
0, 0.000223, 0.379457, 2.27008, 0.001653, 
0, 0.000178, 0.350282, 3.57539, 0.004967, 
0, 0.000188, 0.35992, 3.26881, 0.003172, 
0, 0.000196, 0.385075, 2.53058, 0.00202, 
0, 0.000145, 0.15401, 1.07, 0.000896, 
0, 9.9e-05, 0.113883, 1.09688, 0.000726, 
0, 0.000282, 0.072113, 0.803803, 0.002377, 
6.73091, 0.00012, 0.145223, 1.33093, 0.001457, 
0, 0.000144, 0.155571, 1.09456, 0.001313, 
0, 0.000462, 0.146215, 2.49821, 0.001674, 
0, 0.000172, 0.189709, 1.68447, 0.002308, 
0, 0.000271, 0.341579, 3.18436, 0.003146, 
0, 0.00022, 0.145452, 1.14329, 0.001488, 
0, 9.4e-05, 0.152897, 1.21445, 0.001297, 
0, 0.000265, 0.227757, 2.3972, 0.002596, 
0, 0.000192, 0.332095, 4.1197, 0.030749, 
0, 0.000361, 0.384366, 4.81077, 0.002726, 
0, 0.000169, 0.062858, 1.07978, 0.001599, 
12.9974, 8.4e-05, 0.177121, 1.76213, 0.002172, 
0, 0.000226, 0.311231, 2.83842, 0.00275, 
0, 0.000247, 0.321092, 3.21839, 0.002489, 
0, 0.000203, 0.365017, 4.35109, 0.004122, 
0, 0.000285, 0.519998, 4.78485, 0.00243, 
0, 0.00021, 0.34012, 3.07052, 0.002542, 
0, 0.000194, 0.323087, 2.89095, 0.00218, 
0, 0.000317, 0.346168, 3.25333, 0.002193, 
0, 0.000253, 0.384107, 3.73661, 0.028753, 
0, 0.000171, 0.097338, 1.34005, 0.002234, 
14.7171, 0.000105, 0.157328, 1.62953, 0.001463, 
0, 0.000108, 0.186324, 1.38791, 0.001297, 
0, 0.000109, 0.23035, 2.32028, 0.001797, 
0, 0.000494, 0.322901, 3.2683, 0.002765, 
0, 0.000244, 0.348846, 3.0495, 0.002334, 
0, 0.000213, 0.381307, 3.219, 0.002647, 
0, 0.000191, 0.32225, 3.025, 0.003191, 
0, 0.000272, 0.368893, 3.31039, 0.002836, 
0, 0.00028, 0.354488, 3.7555, 0.004571, 
0, 0.000306, 0.11859, 2.08759, 0.003257, 
14.9602, 0.000187, 0.226694, 1.80249, 0.00175, 
0, 0.00016, 0.313161, 2.95317, 0.002417, 
0, 0.000243, 0.371249, 3.33541, 0.003226, 
0, 0.000238, 0.403522, 3.28718, 0.002907, 
0, 0.000275, 0.373347, 3.07165, 0.002714, 
0, 0.000216, 0.384107, 3.23825, 0.00261, 
0, 0.000202, 0.342098, 3.86291, 0.002636, 
0, 0.000234, 0.356154, 3.22179, 0.002973, 
0, 0.000305, 0.419528, 3.45326, 0.056363, 
0, 0.000247, 0.087688, 1.45491, 0.004054, 
14.6017, 0.000162, 0.199561, 1.36363, 0.00155, 
0, 0.0002, 0.327016, 3.1959, 0.002534, 
0, 0.000303, 0.351282, 3.23547, 0.002593, 
0, 0.000246, 0.337854, 3.05395, 0.002858, 
0, 0.000176, 0.328183, 3.19791, 0.002742, 
0, 0.000314, 0.46625, 3.39233, 0.00298, 
0, 0.000217, 0.334673, 3.25749, 0.002428, 
0, 0.000193, 0.312535, 3.13206, 0.002539, 
0, 0.000247, 0.357488, 3.40793, 0.004461, 
0, 0.000303, 0.088097, 2.12483, 0.003283, 
0, 0.000271, 0.285878, 1.84162, 0.001605, 
17.4735, 0.000116, 0.250423, 2.28401, 0.001828, 
0, 0.000262, 0.33297, 3.10649, 0.002678, 
0, 0.000245, 0.320566, 3.10318, 0.002539, 
0, 0.000215, 0.312915, 3.23267, 0.003068, 
0, 0.000314, 0.440518, 3.49569, 0.004026, 
0, 0.00019, 0.357174, 3.04181, 0.002973, 
0, 0.000209, 0.327654, 3.02332, 0.002576, 
0, 0.000165, 0.345751, 3.10726, 0.002603, 
0, 0.000288, 0.115568, 1.45728, 0.003238, 
13.8368, 0.000183, 0.264943, 1.90354, 0.001691, 
0, 0.000163, 0.252464, 2.27039, 0.00178, 
0, 0.000259, 0.507582, 4.41961, 0.001861, 
0, 0.000136, 0.317804, 2.95746, 0.00226, 
0, 0.000266, 0.420607, 3.15761, 0.002911, 
0, 0.000216, 0.970377, 3.26274, 0.002637, 
